route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
8010060000GL023,2024-12-082024-12-14006081,0060812024-12-08,,00608,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-10-092024-10-31006091,0060912024-10-09,,00609,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-11-012024-12-07006091,0060912024-11-01,,00609,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-12-082024-12-14006091,0060912024-12-08,,00609,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-10-092024-10-31006101,0061012024-10-09,,00610,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-11-012024-12-07006101,0061012024-11-01,,00610,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2024-12-082024-12-14006101,0061012024-12-08,,00610,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-10-092024-10-31006131,0061312024-10-09,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-11-012024-12-07006131,0061312024-11-01,,00613,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2024-12-082024-12-14006131,0061312024-12-08,,00613,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2024-10-102024-11-24006211,0062112024-10-10,,00621,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2024-10-102024-11-24006212,0062122024-10-10,,00621,,,,2                                                                                                                                                                                                                                                                                       
2230871801GL023,2024-10-102024-11-24006213,0062132024-10-10,,00621,,,,2                                                                                                                                                                                                                                                                                       
1510071801GL023,2024-10-102024-11-24006214,0062142024-10-10,,00621,,,,2                                                                                                                                                                                                                                                                                       
7180122308GL023,2024-10-102024-11-24006221,0062212024-10-10,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180122100GL023,2024-10-102024-11-24006222,0062222024-10-10,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180122308GL023,2024-10-102024-11-24006223,0062232024-10-10,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2024-10-102024-11-24006224,0062242024-10-10,,00622,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2024-10-102024-11-24006225,0062252024-10-10,,00622,,,,2                                                                                                                                                                                                                                                                                       
1120815100GL023,2024-10-102024-11-24006226,0062262024-10-10,,00622,,,,2                                                                                                                                                                                                                                                                                       
3141271801GL023,2024-10-102024-11-24006251,0062512024-10-10,,00625,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2024-10-102024-11-24006252,0062522024-10-10,,00625,,,,2                                                                                                                                                                                                                                                                                       
3141271801GL023,2024-10-102024-11-24006253,0062532024-10-10,,00625,,,,2                                                                                                                                                                                                                                                                                       
1510071801GL023,2024-10-102024-11-24006254,0062542024-10-10,,00625,,,,2                                                                                                                                                                                                                                                                                       
7180131412GL023,2024-10-102024-11-24006261,0062612024-10-10,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180122100GL023,2024-10-102024-11-24006262,0062622024-10-10,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180131412GL023,2024-10-102024-11-24006263,0062632024-10-10,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2024-10-102024-11-24006264,0062642024-10-10,,00626,,,,2                                                                                                                                                                                                                                                                                       
7180104040GL023,2024-10-102024-11-24006265,0062652024-10-10,,00626,,,,2                                                                                                                                                                                                                                                                                       
1120815100GL023,2024-10-102024-11-24006266,0062662024-10-10,,00626,,,,2                                                                                                                                                                                                                                                                                       
3010071801GL023,2024-10-092024-12-07006311,0063112024-10-09,,00631,,,,1                                                                                                                                                                                                                                                                                       
3010071801GL023,2024-12-082024-12-14006311,0063112024-12-08,,00631,,,,1                                                                                                                                                                                                                                                                                       
0404078400GL023,2024-10-092024-12-07006313,0063132024-10-09,,00631,,,,2                                                                                                                                                                                                                                                                                       
